HotelID,AccommodationName,LocationID,Type,LocationName,BrandList
DIST0000069067,Hilton Toronto/Markham Suites Conference Centre & Spa,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000069278,Holiday Inn Express Hotel &amp; Suites Brampton,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000069373,Holiday Inn Hotel &amp; Suites Oakville @ Bronte,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000069376,Holiday Inn Hotel &amp; Suites Pointe-Claire Montreal Airport,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000069399,Holiday Inn Laval - Montreal,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000069417,Holiday Inn Montreal Aeroport- Airport,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000069418,Holiday Inn Montreal-Longueuil,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000069466,Holiday Inn Select Montreal Centre Ville Downtown,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000069548,Homewood Suites By Hilton Burlington,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000069570,Homewood Suites By Hilton Toronto-Markham,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000069680,Hotel 10,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000070509,Hotel Carlingview Toronto Airport,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000070586,Hotel Champ-De-Mars,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000070597,Hotel Chateau St Marc,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000070855,Hotel De Paris,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000070995,Hotel Du Fort,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000071075,Hotel Elegant,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000071127,Hotel Espresso - Montreal Downtown,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000071155,Hotel Europeenne,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000071627,Hotel Indigo Toronto Airport,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000071798,Hotel Kutuma,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000071912,Hotel Le Cantlie Suites,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000071917,Hotel Le Crystal,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000071921,Hotel Le Germain Maple Leaf Square,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000071922,Hotel Le Germain Toronto,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000071947,Hotel Le Prestige,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000071951,Hotel Le Roberval,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000071988,Hotel Les Suites Labelle,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000072024,Hotel Lord Berri,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000072421,Hotel Nelligan,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000072551,Hotel Omni Mont-Royal,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000072752,Hotel Plateau Royale,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000072905,Hotel Quartier Latin Montreal,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000073393,Hotel St Paul,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000073410,Hotel St-Denis,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000073591,Hotel Travelodge Montreal Centre,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000073651,Hotel Universel Montreal,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000073698,Hotel Victoria (Downtown Toronto),4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000073826,Hotel Welcominns,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000073861,Hotel Zero 1,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000074139,Hyatt Regency Montreal,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000074713,Intercontinental Montreal,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000074738,Intercontinental Toronto Centre,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000075803,L Appartement Hotel,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000076390,Le Centre Sheraton Montreal Hotel,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000076485,Le Nouvel Hotel And Spa,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000076512,Le Petit Hotel,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000076520,Le Relais Lyonnais,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000076539,Le Saint-Sulpice Hotel Montreal,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000076544,Le Square Phillips Hotel And Suites,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000076546,Le St-Martin Hotel Centre-Ville,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000076562,Le Westin Montreal,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000076706,Les Studios Hotel,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000076913,Loews Hotel Vogue,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000076927,Loft Hotel,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000076928,Lofts Du Vieux Port Old Montreal Lofts,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000077210,Luxury Apartments Montreal Inc.,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000078109,Maryam Hotel North York,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000078729,Metropolitan Hotel Toronto,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000079169,Monte Carlo Inns - Vaughan Suites,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000079170,Monte Carlo Inns Toronto West,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000080222,Novotel Toronto Centre,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000080662,One King West Hotel And Residence,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000081244,Pantages Suites Hotel And Spa,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000081520,Park Hyatt Toronto Yorkville,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000082190,Place D&#39;armes Hotel And Suites,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000082967,Quality Hotel Dorval Aeroport,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000083010,Quality Inn Downtown,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000083050,Quality Suites Oakville,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000083335,Radisson Hotel Admiral Toronto-Harbourfront,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000083347,Radisson Hotel Toronto East,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000083514,Ramada Plaza Toronto Downtown,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000083882,Renaissance Toronto Downtown Hotel,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000083971,Residence Inn By Marriott Montreal Westmount,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000083984,Residence Inn By Marriott Toronto Downtown/Entertainment District,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000083992,Residence Inn Mississauga-Airport Corporate Centre West,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000085020,Ruby Foos Montreal,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000085383,Sandman Hotel Montreal - Longueuil,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000085388,Sandman Signature Hotel Toronto Airport,4,DestinationCountry,Canada,<Brand>EBK</Brand>
